Rank	Score	Type	ID	Name	Description
86	92.05	kd	CGS001-345	APOC3	Apolipoproteins
87	92.03	cp	BRD-K23875128	RHO-kinase-inhibitor-III[rockout]	Rho associated kinase inhibitor
88	91.99	kd	CGS001-2674	GFRA1	GDNF receptor family
89	91.94	cp	BRD-K22828899	TUL-XXI039	Serine/threonine kinase inhibitor
90	91.73	cp	BRD-K77390737	xanthohumol	ATPase inhibitor
91	91.72	cp	BRD-K10961822	latanoprost	Prostanoid receptor agonist
92	91.72	cp	BRD-K12502280	TG-101348	FLT3 inhibitor
93	91.67	cp	BRD-K50168500	canertinib	EGFR inhibitor
94	91.52	kd	CGS001-4300	MLLT3	-
95	91.33	oe	ccsbBroad304_00173	BRCA1	Fanconi anemia, complementation groups
96	91.18	kd	CGS001-35	ACADS	-
97	91.09	cp	BRD-A25234499	aminoglutethimide	Glucocorticoid receptor antagonist
98	90.86	kd	CGS001-29103	DNAJC15	Heat shock proteins / DNAJ (HSP40)
99	90.76	oe	ccsbBroad304_02752	TRIM2	RING-type (C3HC4) zinc fingers
100	90.66	kd	CGS001-29105	C16ORF80	-
101	90.55	cp	BRD-A13084692	troglitazone	Insulin sensitizer
102	90.49	kd	CGS001-8879	SGPL1	Sphingosine 1-phosphate lyase
103	90.44	kd	CGS001-581	BAX	-
104	90.23	kd	CGS001-6309	SC5DL	-
105	90.16	oe	ccsbBroad304_06126	TSC22D3	-
106	90.13	oe	ccsbBroad304_01624	SUPV3L1	-
107	89.98	kd	CGS001-55781	RIOK2	RIO2 subfamily
108	89.95	cp	BRD-K61737877	VEGF-receptor-2-kinase-inhibitor-IV	VEGFR inhibitor
109	89.89	cp	BRD-K21971034	OM-137	Aurora kinase inhibitor
110	89.86	kd	CGS001-462	SERPINC1	Serine (or cysteine) peptidase inhibitors
111	89.84	oe	ccsbBroad304_10484	ZNF707	Zinc fingers, C2H2-type
112	89.84	cp	BRD-K78692225	leflunomide	Dihydroorotate dehydrogenase inhibitor
113	89.82	oe	ccsbBroad304_02187	POLR1C	RNA polymerase subunits
114	89.45	cp	BRD-K45988865	tetramethylsilane	Internal standard for NMR spectroscopy
115	89.39	kd	CGS001-3576	IL8	-
116	89.08	kd	CGS001-388677	NOTCH2NL	-
117	88.75	oe	ccsbBroad304_01540	SLC2A1	Solute carriers
118	88.73	oe	ccsbBroad304_03785	INTS12	Zinc fingers, PHD-type
119	88.44	cp	BRD-K05528470	L-745870	Dopamine receptor antagonist
120	88.37	kd	CGS001-81550	TDRD3	Tudor domain containing
121	88.35	cp	BRD-K12079898	PD-160170	Neuropeptide receptor antagonist
122	88.35	kd	CGS001-190	NR0B1	DAX-like receptors
123	88.31	oe	ccsbBroad304_06824	PVR	Immunoglobulin superfamily / C2-set domain containing
124	88.26	cp	BRD-K82795137	loratadine	Histamine receptor antagonist
125	88.21	kd	CGS001-2535	FZD2	GPCR / Class F : Frizzled receptors
126	88.21	kd	CGS001-1650	DDOST	-
127	88.17	kd	CGS001-1312	COMT	Catecholamine turnover
128	88.07	kd	CGS001-219	ALDH1B1	Aldehyde dehydrogenases
129	88.05	kd	CGS001-1612	DAPK1	Death-associated kinase (DAPK) family
130	87.9	cp	BRD-K32412559	morphothebaine	Adrenergic receptor antagonist
131	87.85	kd	CGS001-170463	SSBP4	-
132	87.76	cp	BRD-K37846922	3,3'-diindolylmethane	CHK inhibitor
133	87.75	oe	ccsbBroad304_04001	ZNF747	Zinc fingers, C2H2-type
134	87.69	kd	CGS001-2553	GABPB1	Ankyrin repeat domain containing
135	87.66	cp	BRD-K94176593	TWS-119	Glycogen synthase kinase inhibitor
136	87.5	kd	CGS001-1537	CYC1	Mitochondrial respiratory chain complex / Complex III
137	87.48	cp	BRD-K04548931	pidorubicine	Topoisomerase inhibitor
138	87.38	kd	CGS001-84923	FAM104A	-
139	87.36	kd	CGS001-1044	CDX1	Homeoboxes / ANTP class : HOXL subclass
140	87.26	oe	ccsbBroad304_07876	LARS2	Aminoacyl tRNA synthetases / Class I
141	87.23	kd	CGS001-5217	PFN2	-
142	87.19	cp	BRD-K47780086	penciclovir	DNA directed DNA polymerase inhibitor
143	87.19	kd	CGS001-140685	ZBTB46	BTB/POZ domain containing
144	87.11	oe	ccsbBroad304_06993	SRD5A1	-
145	87.11	kd	CGS001-10336	PCGF3	Polycomb group ring fingers
146	87.09	kd	CGS001-9337	CNOT8	-
147	87.08	kd	CGS001-1362	CPD	Carboxypeptidase A
148	87.01	kd	CGS001-26292	MYCBP	-
149	86.92	kd	CGS001-4204	MECP2	-
150	86.7	kd	CGS001-64858	DCLRE1B	-
151	86.59	kd	CGS001-7376	NR1H2	Liver X receptor-like receptors
152	86.51	kd	CGS001-117154	DACH2	-
153	86.43	cp	BRD-A65282128	cefazolin	Bacterial cell wall synthesis inhibitor
154	86.41	kd	CGS001-6768	ST14	Serine peptidases / Transmembrane
155	86.36	kd	CGS001-216	ALDH1A1	Aldehyde dehydrogenases
156	86.33	kd	CGS001-50943	FOXP3	Forkhead boxes
157	86.31	oe	ccsbBroad304_00745	HLA-DRB4	Immunoglobulin superfamily / C1-set domain containing
158	86.3	kd	CGS001-10928	RALBP1	-
159	86.15	oe	ccsbBroad304_06753	POU5F1	Homeoboxes / POU class
160	86.08	cp	BRD-K99545815	PF-562271	Focal adhesion kinase inhibitor
161	86.01	oe	ccsbBroad304_06410	HSPA8	Heat shock proteins / HSP70
162	85.75	cp	BRD-K39391626	ethylestrenol	Progesterone receptor agonist
163	85.65	cp	BRD-K02404261	caffeine	Adenosine receptor antagonist
164	85.64	kd	CGS001-10247	HRSP12	-
165	85.5	cp	BRD-K56614220	clofazimine	GK0582 inhibitor
166	85.48	kd	CGS001-2287	FKBP3	-
167	85.29	cp	BRD-A22256192	terazosin	Adrenergic receptor antagonist
168	85.24	oe	ccsbBroad304_00279	CDK6	Cyclin-dependent kinases, CDK4 subfamily
169	85.21	cp	BRD-K33818169	GW-3965	LXR agonist
170	85.01	cp	BRD-K47943470	tyrphostin-51	EGFR inhibitor
171	84.82	cp	BRD-K33193182	methylnorlichexanthone	Aurora kinase inhibitor
172	84.82	kd	CGS001-2098	ESD	-
173	84.67	kd	CGS001-1155	TBCB	-
174	84.53	oe	ccsbBroad304_06683	FURIN	Subtilisin
175	84.53	cp	BRD-K49328571	dasatinib	BCR-ABL kinase inhibitor
176	84.26	kd	CGS001-350383	GPR142	GPCR / Class A : Orphans
177	84.24	cp	BRD-K01649396	indatraline	Norepinephrine transporter inhibitor
178	84.21	cp	BRD-K88625236	nonoxynol-9	Membrane integrity inhibitor
179	83.94	cp	BRD-K18855837	varenicline	Acetylcholine receptor agonist
180	83.92	kd	CGS001-23435	TARDBP	RNA binding motif (RRM) containing
181	83.9	kd	CGS001-6709	SPTAN1	EF-hand domain containing
182	83.88	kd	CGS001-822	CAPG	-
183	83.78	cp	BRD-K07881437	danusertib	Aurora kinase inhibitor
184	83.63	cp	BRD-K54411430	robustic-acid	cAMP inhibitor
185	83.46	kd	CGS001-256281	NUDT14	Nudix motif containing
186	83.36	kd	CGS001-342926	ZNF677	Zinc fingers, C2H2-type
187	83.33	kd	CGS001-26054	SENP6	Ulp1 endopeptidase
188	83.16	oe	ccsbBroad304_06290	GNA15	-
189	83.14	oe	ccsbBroad304_00054	ALDOC	-
190	82.96	cp	BRD-K73293050	WZ-3146	EGFR inhibitor
191	82.95	kd	CGS001-9258	MFHAS1	-
192	82.85	kd	CGS001-57117	INTS12	Zinc fingers, PHD-type
193	82.84	cp	BRD-K66412701	pazufloxacin	Topoisomerase inhibitor
194	82.71	cp	BRD-A14985772	ascorbyl-palmitate	antioxidant
195	82.69	cp	BRD-K56064827	EI-273	PKC inhibitor
196	82.65	cp	BRD-M40783228	mesna	Antioxidant
197	82.6	kd	CGS001-7030	TFE3	Basic helix-loop-helix proteins
198	82.39	cp	BRD-K50140147	NVP-TAE684	ALK inhibitor
199	82.28	cp	BRD-A95939040	sertaconazole	Sterol demethylase inhibitor
200	82.21	cp	BRD-A61793559	metolazone	Carbonic anhydrase inhibitor
201	82.14	oe	ccsbBroad304_03445	UGT1A1	UDP glucuronosyltransferases
202	82.02	kd	CGS001-2958	GTF2A2	General transcription factors
203	81.79	kd	CGS001-3995	FADS3	Fatty acid desaturases
204	81.71	cp	BRD-A07824748	flavanone	11-beta-HSD1 inhibitor
205	81.66	cp	BRD-K14643723	4-(2-Amino-ethyl)-benzenesulfonamide	carbonic anhydrase inhibitor
206	81.64	kd	CGS001-1843	DUSP1	Protein tyrosine phosphatases / Class I Cys-based PTPs : MAP kinase phosphatases
207	81.61	kd	CGS001-2805	GOT1	-
208	81.58	cp	BRD-K69328504	L-690488	Inositol monophosphatase inhibitor
209	81.5	cp	BRD-A46186775	hydrocortisone	Glucocorticoid receptor agonist
210	81.45	cp	BRD-A43671941	oxprenolol	Adrenergic receptor antagonist
211	81.33	oe	ccsbBroad304_09006	RPF1	-
212	81.23	cp	BRD-K49810818	sorafenib	FLT3 inhibitor
213	81.18	oe	ccsbBroad304_01546	SLC7A1	SLC7 family
214	81.13	cp	BRD-K99411983	lumicolchicine	Colchicine isomer, non-binder of microtubules
215	81.1	kd	CGS001-3163	HMOX2	Haem oxygenase
216	81.02	cp	BRD-K17743125	belinostat	HDAC inhibitor
217	80.95	kd	CGS001-10125	RASGRP1	EF-hand domain containing
218	80.86	cp	BRD-A74771556	nikkomycin	Chitin inhibitor
219	80.74	kd	CGS001-10987	COPS5	-
220	80.72	oe	ccsbBroad304_03772	CCNL1	-
221	80.65	oe	ccsbBroad304_06450	ILK	Ankyrin repeat domain containing
222	80.64	kd	CGS001-3613	IMPA2	Inositol monophosphatase
223	80.6	oe	ccsbBroad304_07634	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferases
224	80.59	cp	BRD-K00615600	AG-14361	PARP inhibitor
225	80.56	cp	BRD-K29950728	clomifene	Estrogen receptor antagonist
226	80.51	kd	CGS001-3315	HSPB1	Heat shock proteins / HSPB
227	80.17	kd	CGS001-4171	MCM2	-
228	80.13	kd	CGS001-168374	ZNF92	Zinc fingers, C2H2-type
229	79.94	cp	BRD-K69840642	ISOX	HDAC inhibitor
230	79.94	cp	BRD-K48722258	dilazep	Adenosine reuptake inhibitor
231	79.92	cp	BRD-A10977446	carvedilol	Adrenergic receptor antagonist
232	79.89	cp	BRD-A59808129	guggulsterone	Cholesterol inhibitor
233	79.6	oe	ccsbBroad304_03239	DCXR	Short chain dehydrogenase/reductase superfamily / Classical SDR fold cluster 1
234	79.56	cp	BRD-A79237180	ascorbic-acid	Antioxidant
235	79.5	cp	BRD-K40892394	AR-C133057XX	Nitric oxide synthase inhibitor
236	79.47	kd	CGS001-51545	ZNF581	Zinc fingers, C2H2-type
237	79.36	oe	ccsbBroad304_01378	RASA1	Pleckstrin homology (PH) domain containing
238	79.23	oe	ccsbBroad304_00327	CLK2	CDC-like kinases
239	79.17	kd	CGS001-57404	CYP20A1	Cytochrome P450s
240	79.11	cp	BRD-M47937986	cefatrizine	Bacterial cell wall synthesis inhibitor
241	79.08	cp	BRD-A32164164	methyllycaconitine	Acetylcholine receptor antagonist
242	79.08	oe	ccsbBroad304_07288	B4GALT4	Beta 4-glycosyltransferases
243	79.04	cp	BRD-K38477985	malonoben	Protein tyrosine kinase inhibitor
244	79	kd	CGS001-1123	CHN1	Rho GTPase activating proteins
245	78.99	cp	BRD-K27737647	H-89	PKA inhibitor
246	78.98	kd	CGS001-3117	HLA-DQA1	Immunoglobulin superfamily / C1-set domain containing
247	78.92	oe	ccsbBroad304_02772	ICMT	-
248	78.9	oe	ccsbBroad304_06320	FFAR1	Fatty acid receptors
249	78.88	kd	CGS001-3487	IGFBP4	insulin-like growth factor (IGF) binding proteins
250	78.84	cp	BRD-K91263825	nortriptyline	Tricyclic antidepressant
251	78.81	cp	BRD-A87387433	cefpodoxime	Bacterial cell wall synthesis inhibitor
252	78.78	cp	BRD-A47706533	L-BSO	Glutathione transferase inhibitor
253	78.75	kd	CGS001-8019	BRD3	Bromodomain kinase (BRDK) family
254	78.74	kd	CGS001-5430	POLR2A	RNA polymerase subunits
255	78.73	kd	CGS001-5159	PDGFRB	Type III RTKs: PDGFR, CSFR, Kit, FLT3 receptor family
256	78.64	cp	BRD-A42423104	benproperine	Antitussive
257	78.62	kd	CGS001-3084	NRG1	Immunoglobulin superfamily / I-set domain containing
258	78.54	cp	BRD-K59650319	YM-298198	Glutamate receptor antagonist
259	78.49	kd	CGS001-3725	JUN	basic leucine zipper proteins
260	78.49	kd	CGS001-2957	GTF2A1	General transcription factors
261	78.47	cp	BRD-K61097567	SB-218795	Tachykinin antagonist
262	78.33	oe	ccsbBroad304_01701	TPI1	-
263	78.28	oe	ccsbBroad304_07888	CBX6	-
264	78.25	kd	CGS001-7508	XPC	-
265	78.23	kd	CGS001-79921	TCEAL4	-
266	78.15	oe	ccsbBroad304_00067	SLC25A4	Mitochondrial nucleotide transporter subfamily
267	78.15	oe	ccsbBroad304_00679	GPR39	GPCR / Class A : Orphans
268	78.1	oe	ccsbBroad304_01661	TFCP2	-
269	78.04	oe	ccsbBroad304_09497	ZNF57	Zinc fingers, C2H2-type
270	77.78	oe	ccsbBroad304_00112	ASNA1	-
271	77.74	oe	ccsbBroad304_03917	RBKS	-
272	77.64	kd	CGS001-9975	NR1D2	Rev-Erb receptors
273	77.59	oe	ccsbBroad304_12106	PXK	Slob family
274	77.53	kd	CGS001-3980	LIG3	-
275	77.52	kd	CGS001-54850	FBXL12	F-boxes / Leucine-rich repeats
276	77.51	kd	CGS001-23581	CASP14	Caspases
277	77.34	cp	BRD-A81795050	U-18666A	Oxidosqualene cyclase inhibitor
278	77.31	oe	ccsbBroad304_01481	SARS	Aminoacyl tRNA synthetases / Class II
279	77.31	kd	CGS001-57048	PLSCR3	-
280	77.31	kd	CGS001-3832	KIF11	Kinesins
281	77.1	cp	BRD-U44618005	WH-4023	SRC inhibitor
282	76.88	oe	ccsbBroad304_06079	CYP51A1	Cytochrome P450s
283	76.85	kd	CGS001-3149	HMGB3	High-mobility group / Canonical
284	76.71	cp	BRD-K89055274	alverine	Muscle relaxant
285	76.66	kd	CGS001-26994	RNF11	RING-type (C3HC4) zinc fingers
286	76.53	oe	ccsbBroad304_01808	ZNF134	Zinc fingers, C2H2-type
287	76.47	cp	BRD-K84955386	hyperoside	Glucosidase inhibitor
288	76.43	kd	CGS001-5971	RELB	NFkappaB transcription factor family
289	76.4	kd	CGS001-11014	KDELR2	-
290	76.29	oe	ccsbBroad304_00888	ITPK1	-
291	76.23	oe	ccsbBroad304_05833	APEH	Prolyl oligopeptidase
292	76.07	cp	BRD-K54330070	SB-202190	p38 MAPK inhibitor
293	75.97	cp	BRD-K51662849	ilomastat	Matrix metalloprotease inhibitor
294	75.96	cp	BRD-A42628519	iopanoic-acid	Radiopaque medium
295	75.95	cp	BRD-K47207162	zimelidine	Serotonin reuptake inhibitor
296	75.88	cp	BRD-K19136521	indirubin	CDK inhibitor
297	75.75	cp	BRD-K09631521	thiotepa	Cytochrome P450 inhibitor
298	75.56	kd	CGS001-54733	SLC35F2	SLC35 family of nucleotide sugar transporters
299	75.49	cp	BRD-K05926469	lenalidomide	Antineoplastic
300	75.29	kd	CGS001-7702	ZNF143	Zinc fingers, C2H2-type
301	75.28	cp	BRD-K11558771	droxinostat	HDAC inhibitor
302	75.22	oe	ccsbBroad304_00421	DAPK1	Death-associated kinase (DAPK) family
303	75.22	kd	CGS001-9276	COPB2	WD repeat domain containing
304	75.18	kd	CGS001-2776	GNAQ	-
305	75.17	oe	ccsbBroad304_10431	HADHB	-
306	74.89	cp	BRD-K67537649	PQ-401	IGF-1 inhibitor
307	74.83	kd	CGS001-64921	CASD1	-
308	74.69	cp	BRD-K39823328	VU-0366037-2	Glutamate receptor modulator
309	74.64	kd	CGS001-5230	PGK1	-
310	74.57	cp	BRD-K14681867	somatostatin	Somatostatin receptor agonist
311	74.54	kd	CGS001-9903	KLHL21	BTB/POZ domain containing
312	74.52	kd	CGS001-387129	NPSR1	GPCR / Class A : Neuropeptide receptors : S
313	74.38	oe	ccsbBroad304_01284	PRKCZ	Iota subfamily
314	74.29	oe	ccsbBroad304_00838	IGFBP5	insulin-like growth factor (IGF) binding proteins
315	74.28	kd	CGS001-55437	STRADB	STLK subfamily
316	74.22	kd	CGS001-9121	SLC16A5	SLC16 family of monocarboxylate transporters
317	74.11	kd	CGS001-9275	BCL7B	-
318	73.98	kd	CGS001-1287	COL4A5	Collagens
319	73.96	cp	BRD-K46056750	AZD-7762	CHK inhibitor
320	73.92	oe	ccsbBroad304_00023	ADA	Adenosine turnover
321	73.91	cp	BRD-U73238814	QL-XI-92	DDR1 inhibitor
322	73.9	cp	BRD-K37312348	kenpaullone	CDK inhibitor
323	73.81	kd	CGS001-203	AK1	Adenylate kinases
324	73.67	oe	ccsbBroad304_02092	SYNGR3	-
325	73.51	cp	BRD-K96740444	itopride	Dopamine receptor antagonist
326	73.5	oe	ccsbBroad304_06008	AP2M1	-
327	73.49	kd	CGS001-6416	MAP2K4	MAPKK:STE7 family
328	73.24	kd	CGS001-8784	TNFRSF18	Tumour necrosis factor (TNF) receptor family
329	73.08	cp	BRD-A12016240	LY-278584	Serotonin receptor antagonist
330	73.08	kd	CGS001-4122	MAN2A2	-
331	72.85	kd	CGS001-56997	ADCK3	ABC1-B subfamily
332	72.84	oe	ccsbBroad304_00797	HSPA2	Heat shock proteins / HSP70
333	72.8	kd	CGS001-8558	CDK10	Cyclin-dependent kinases, CDK10 subfamily
334	72.79	oe	ccsbBroad304_01090	NFE2L2	basic leucine zipper proteins
335	72.79	kd	CGS001-4706	NDUFAB1	Mitochondrial respiratory chain complex / Complex I
336	72.7	kd	CGS001-4791	NFKB2	NFkappaB transcription factor family
337	72.64	kd	CGS001-5269	SERPINB6	Serine (or cysteine) peptidase inhibitors
338	72.59	kd	CGS001-2288	FKBP4	Tetratricopeptide (TTC) repeat domain containing
339	72.5	kd	CGS001-29775	CARD10	-
340	72.47	oe	ccsbBroad304_00116	ASS1	-
341	72.41	oe	ccsbBroad304_07827	STK38L	NDR family
342	72.35	kd	CGS001-4173	MCM4	-
343	72.21	oe	ccsbBroad304_06089	DDIT3	-
344	72.18	kd	CGS001-116985	ARAP1	Ankyrin repeat domain containing
345	72.14	kd	CGS001-80306	MED28	-
346	72.07	cp	BRD-K09764130	mead-ethanolamide	Cannabinoid receptor agonist
347	72.02	kd	CGS001-55191	NADSYN1	-
348	72.01	cp	BRD-K15791587	L-733060	Tachykinin antagonist
349	71.96	cp	BRD-K43290182	Ro-04-6790	Serotonin receptor antagonist
350	71.95	kd	CGS001-11344	TWF2	Twinfilin subfamily
351	71.94	oe	ccsbBroad304_14020	SH3BP5	-
352	71.89	kd	CGS001-90589	ZNF625	Zinc fingers, C2H2-type
353	71.87	cp	BRD-K17378184	prestwick-559	Dopamine receptor agonist
354	71.61	cp	BRD-K17110974	aristolochic-acid	Phospholipase inhibitor
355	71.52	cp	BRD-A69917777	aminopentamide	Acetylcholine receptor antagonist
356	71.47	oe	ccsbBroad304_07178	ZFP112	-
357	71.3	cp	BRD-K23204545	busulfan	DNA inhibitor
358	71.22	cp	BRD-K41337261	ZM-306416	ABL inhibitor
359	71.17	cp	BRD-A38749782	fludrocortisone	Glucocorticoid receptor agonist
360	71.01	cp	BRD-A29260609	acebutolol	Adrenergic receptor antagonist
361	70.94	kd	CGS001-4704	NDUFA9	Short chain dehydrogenase/reductase superfamily / Extended SDR fold
362	70.7	oe	ccsbBroad304_00800	HSPD1	Heat Shock Proteins / Chaperonins
363	70.56	oe	ccsbBroad304_00382	CSNK2A2	Casein kinase 2 (CK2) family
364	70.49	oe	ccsbBroad304_00519	ETFB	-
365	70.22	oe	ccsbBroad304_03235	TUBD1	Tubulins
366	70.09	cp	BRD-A72066420	mifobate	PPAR receptor antagonist
367	70.09	kd	CGS001-6775	STAT4	SH2 domain containing
368	70.04	cp	BRD-K68437527	EMF-bca1-60	caspase inhibitor
369	69.94	cp	BRD-K92093830	doxorubicin	Topoisomerase inhibitor
370	69.86	kd	CGS001-10092	ARPC5	Actin related protein 2/3 complex subunits
371	69.71	oe	ccsbBroad304_02869	ASF1A	-
372	69.7	kd	CGS001-4313	MMP2	Matrix metallopeptidase
373	69.68	kd	CGS001-5588	PRKCQ	Delta subfamily
374	69.4	oe	ccsbBroad304_13813	ARAF	RAF family
375	69.4	kd	CGS001-6189	RPS3A	S ribosomal proteins
376	69.36	kd	CGS001-2773	GNAI3	-
377	69.28	cp	BRD-K91315211	betahistine	Histamine receptor agonist
378	69.1	oe	ccsbBroad304_00509	EPHX1	-
379	69.09	kd	CGS001-2348	FOLR1	-
380	69.05	cp	BRD-A81177136	KN-62	Calcium-calmodulin dependent protein kinase inhibitor
381	68.97	oe	ccsbBroad304_00028	ADH5	Alcohol dehydrogenases
382	68.91	cp	BRD-K92758126	gibberellic-acid	NFkB pathway inhibitor
383	68.87	cp	BRD-A77291778	cyclopentolate	Acetylcholine receptor antagonist
384	68.8	oe	ccsbBroad304_01267	PPP4C	Serine/threonine phosphatases / Protein phosphatase, catalytic subunits
385	68.77	kd	CGS001-8870	IER3	-
386	68.72	oe	ccsbBroad304_00068	SLC25A6	Mitochondrial nucleotide transporter subfamily
387	68.71	oe	ccsbBroad304_00962	SMAD4	SMADs
388	68.61	kd	CGS001-51274	KLF3	Kruppel-like transcription factors
389	68.52	kd	CGS001-975	CD81	CD molecules
390	68.41	cp	BRD-A94669766	naringenin	Aromatase inhibitor
391	68.37	kd	CGS001-51231	VRK3	Vaccina related kinase (VRK) family
392	68.19	oe	ccsbBroad304_04431	PHF5A	Zinc fingers, PHD-type
393	68.18	kd	CGS001-22908	SACM1L	-
394	68.15	cp	BRD-K57080016	selumetinib	MEK inhibitor
395	68.12	oe	ccsbBroad304_03933	CARD9	-
396	68.09	kd	CGS001-171017	ZNF384	Zinc fingers, C2H2-type
397	68.03	cp	BRD-K81916719	triclabendazole	Microtubule inhibitor
