Rank	Score	Type	ID	Name	Description
49	95.39	kd	CGS001-1244	ABCC2	ATP binding cassette transporters / subfamily C
50	95.33	kd	CGS001-148156	ZNF558	Zinc fingers, C2H2-type
51	95.32	cp	BRD-K46056750	AZD-7762	CHK inhibitor
52	95.28	kd	CGS001-5091	PC	Carboxylases
53	95.26	kd	CGS001-255738	PCSK9	Subtilisin
54	95.23	oe	ccsbBroad304_01075	NDUFV1	Mitochondrial respiratory chain complex / Complex I
55	95.22	kd	CGS001-6894	TARBP1	-
56	95.04	cp	BRD-A26002865	verrucarin-a	Protein synthesis inhibitor
57	95.03	cp	BRD-K82143716	flucytosine	Antifungal
58	94.76	cp	BRD-K99946902	hexylresorcinol	Local anesthetic
59	94.7	kd	CGS001-6652	SORD	-
60	94.66	cp	BRD-K01493881	apigenin	Casein kinase inhibitor
61	94.51	oe	ccsbBroad304_02121	UBE2L6	Ubiquitin-conjugating enzymes E2
62	94.32	kd	CGS001-8019	BRD3	Bromodomain kinase (BRDK) family
63	94.22	kd	CGS001-4300	MLLT3	-
64	94.13	kd	CGS001-64783	RBM15	RNA binding motif (RRM) containing
65	94.01	cp	BRD-K14643723	4-(2-Amino-ethyl)-benzenesulfonamide	carbonic anhydrase inhibitor
66	94	kd	CGS001-6477	SIAH1	-
67	93.9	kd	CGS001-1009	CDH11	Cadherins / Major cadherins
68	93.84	kd	CGS001-10252	SPRY1	-
69	93.72	kd	CGS001-9831	ZNF623	Zinc fingers, C2H2-type
70	93.65	cp	BRD-K35573744	erbstatin-analog	EGFR inhibitor
71	93.4	kd	CGS001-8714	ABCC3	ATP binding cassette transporters / subfamily C
72	93.27	oe	ccsbBroad304_00509	EPHX1	-
73	93.15	kd	CGS001-55604	LRRC16A	-
74	93.13	cp	BRD-U25771771	WZ-4-145	EGFR inhibitor
75	93.09	oe	ccsbBroad304_09006	RPF1	-
76	93.04	oe	ccsbBroad304_02311	ARPC3	Actin related protein 2/3 complex subunits
77	93.01	oe	ccsbBroad304_05787	ADRBK1	BARK/GRK2 subfamily
78	92.92	cp	BRD-A52193669	withaferin-a	IKK inhibitor
79	92.89	kd	CGS001-1806	DPYD	-
80	92.76	kd	CGS001-5438	POLR2I	RNA polymerase subunits
81	92.72	cp	BRD-K63874012	thioperamide	Histamine receptor antagonist
82	92.58	oe	ccsbBroad304_01396	RGS4	Regulators of G-protein signaling
83	92.54	kd	CGS001-60528	ELAC2	-
84	92.5	cp	BRD-A77050075	heraclenol	Vitamin K antagonist
85	92.5	cp	BRD-K79930101	GW-583340	EGFR inhibitor
86	92.46	kd	CGS001-5581	PRKCE	Eta subfamily
87	92.45	kd	CGS001-10810	WASF3	-
88	92.04	kd	CGS001-10269	ZMPSTE24	-
89	91.95	kd	CGS001-5495	PPM1B	Serine/threonine phosphatases / Protein phosphatases, Mg2+/Mn2+ dependent
90	91.9	cp	BRD-K97764662	PD-173074	FGFR inhibitor
91	91.83	cp	BRD-K10961822	latanoprost	Prostanoid receptor agonist
92	91.8	kd	CGS001-4171	MCM2	-
93	91.8	kd	CGS001-23624	CBLC	RING-type (C3HC4) zinc fingers
94	91.74	kd	CGS001-80218	NAA50	N(alpha)-acetyltransferase subunits
95	91.63	cp	BRD-K86930074	cediranib	KIT inhibitor
96	91.62	kd	CGS001-3017	HIST1H2BD	Histones / Replication-dependent
97	91.4	cp	BRD-A24514565	warfarin	Vitamin K antagonist
98	91.36	oe	ccsbBroad304_04947	DYNLL2	Cytoplasmic dyneins
99	91.24	oe	ccsbBroad304_06140	EEF1D	-
100	91.16	kd	CGS001-7335	UBE2V1	Ubiquitin-conjugating enzymes E2
101	91.11	kd	CGS001-10150	MBNL2	Zinc fingers, CCCH-type domain containing
102	90.9	kd	CGS001-57665	RDH14	Short chain dehydrogenase/reductase superfamily / Classical SDR fold cluster 2
103	90.88	oe	ccsbBroad304_01238	POLR2D	RNA polymerase subunits
104	90.88	cp	BRD-A81866333	CGS-21680	Adenosine receptor agonist
105	90.83	oe	ccsbBroad304_00106	ARRB1	-
106	90.82	kd	CGS001-11230	PRAF2	-
107	90.77	kd	CGS001-256364	EML3	WD repeat domain containing
108	90.75	kd	CGS001-6309	SC5DL	-
109	90.55	cp	BRD-K32292990	CGP-53353	EGFR inhibitor
110	90.53	oe	ccsbBroad304_00670	GPR4	GPCR / Class A : Orphans
111	90.4	cp	BRD-K43796186	benzyl-quinazolin-4-yl-amine	EGFR inhibitor
112	90.23	oe	ccsbBroad304_06720	PHYH	-
113	90.03	kd	CGS001-115201	ATG4A	-
114	89.94	oe	ccsbBroad304_08014	GBGT1	Glycosyltransferase family 6 domain containing
115	89.77	kd	CGS001-204851	HIPK1	HIPK subfamily
116	89.73	kd	CGS001-84290	CAPNS2	EF-hand domain containing
117	89.49	kd	CGS001-51734	SEPX1	-
118	89.3	cp	BRD-K92428232	GSK-461364	PLK inhibitor
119	89.3	kd	CGS001-55869	HDAC8	Histone deacetylases
120	89.24	cp	BRD-K76674262	homoharringtonine	Protein synthesis inhibitor
121	89.19	kd	CGS001-435	ASL	-
122	89.18	cp	BRD-K75699339	rizatriptan	Serotonin receptor agonist
123	89.15	cp	BRD-K86595100	chlordiazepoxide	Benzodiazepine receptor agonist
124	88.95	kd	CGS001-11072	DUSP14	Protein tyrosine phosphatases / Class I Cys-based PTPs : Atypical dual specificity phosphatases
125	88.83	cp	BRD-K41859756	NVP-AUY922	HSP inhibitor
126	88.77	kd	CGS001-55423	SIRPG	Immunoglobulin superfamily / C1-set domain containing
127	88.76	oe	ccsbBroad304_00690	GRN	-
128	88.73	kd	CGS001-2773	GNAI3	-
129	88.71	oe	ccsbBroad304_00360	CREB1	basic leucine zipper proteins
130	88.6	cp	BRD-K65331431	retinyl	vitamin analog
131	88.51	oe	ccsbBroad304_07064	TH	Amino acid hydroxylases
132	88.42	kd	CGS001-5918	RARRES1	-
133	88.39	kd	CGS001-57474	ZNF490	Zinc fingers, C2H2-type
134	88.39	kd	CGS001-10447	FAM3C	-
135	88.31	kd	CGS001-8477	GPR65	GPCR / Class A : Orphans
136	88.27	kd	CGS001-89884	LHX4	Homeoboxes / LIM class
137	88.26	cc		GPCR Subset GOF	-
138	88.02	kd	CGS001-7753	ZNF202	Zinc fingers, C2H2-type
139	87.95	cp	BRD-K63979671	etifenin	Compound used in hepatobiliary scans of the liver
140	87.81	cp	BRD-A25687296	emetine	Protein synthesis inhibitor
141	87.8	cp	BRD-A14985772	ascorbyl-palmitate	antioxidant
142	87.33	cp	BRD-K74913225	brinzolamide	Carbonic anhydrase inhibitor
143	87.31	cp	BRD-K83508485	FK-888	Tachykinin antagonist
144	87.17	cp	BRD-K06335600	tizanidine	Adrenergic receptor agonist
145	87.16	oe	ccsbBroad304_04431	PHF5A	Zinc fingers, PHD-type
146	87.08	kd	CGS001-8850	KAT2B	Histone acetyltransferases (HATs)
147	87.04	cp	BRD-A70449690	forskolin	Adenylyl cyclase activator
148	86.99	cp	BRD-A29289453	PCA-4248	Platelet activating factor receptor antagonist
149	86.98	oe	ccsbBroad304_03512	ATG16L1	WD repeat domain containing
150	86.88	kd	CGS001-55179	FAIM	-
151	86.86	oe	ccsbBroad304_04691	OSR2	Zinc fingers, C2H2-type
152	86.83	oe	ccsbBroad304_01663	TFF2	-
153	86.78	kd	CGS001-285220	EPHA6	Type XIII RTKs: Ephrin receptor family
154	86.61	cp	BRD-K42679050	Y-27152	Potassium channel activator
155	86.47	kd	CGS001-283078	MKX	Homeoboxes / TALE class
156	86.33	cp	BRD-K23204545	busulfan	DNA inhibitor
157	86.28	cp	BRD-K10870738	CDC	Lipoxygenase inhibitor
158	86.25	cp	BRD-K36529613	PU-H71	HSP inhibitor
159	85.99	cp	BRD-K79404599	enzastaurin	PKC inhibitor
160	85.9	kd	CGS001-79145	CHCHD7	Coiled-coil-helix-coiled-coil-helix domain containing
161	85.64	kd	CGS001-5422	POLA1	DNA polymerases
162	85.53	cp	BRD-K71499074	diclofenamide	Carbonic anhydrase inhibitor
163	85.43	kd	CGS001-80349	WDR61	WD repeat domain containing
164	85.42	oe	ccsbBroad304_01675	TK1	-
165	85.29	oe	ccsbBroad304_10484	ZNF707	Zinc fingers, C2H2-type
166	85.28	oe	ccsbBroad304_05471	ABCB5	ATP binding cassette transporters / subfamily B
167	85.24	kd	CGS001-128368	OR10Z1	GPCR / Class A : Olfactory receptors
168	85.2	kd	CGS001-9200	PTPLA	-
169	85.18	kd	CGS001-1650	DDOST	-
170	85.08	oe	ccsbBroad304_06007	CISH	SH2 domain containing
171	84.95	cp	BRD-K22385716	LY-303511	Casein kinase inhibitor
172	84.8	kd	CGS001-4302	MLLT6	Zinc fingers, PHD-type
173	84.79	cp	BRD-K67831364	ZM-323881	VEGFR inhibitor
174	84.6	cp	BRD-K32645441	dipropyl-5ct	Serotonin receptor agonist
175	84.49	oe	ccsbBroad304_02220	MTFR1	-
176	84.06	kd	CGS001-1362	CPD	Carboxypeptidase A
177	84.03	cp	BRD-K89626439	sirolimus	MTOR inhibitor
178	83.96	cp	BRD-A80638690	floxuridine	DNA synthesis inhibitor
179	83.92	cp	BRD-K45252063	clofibrate	PPAR receptor agonist
180	83.92	cp	BRD-K68103045	CGS-20625	Benzodiazepine receptor agonist
181	83.91	oe	ccsbBroad304_06309	UTS2R	Urotensin receptor
182	83.89	cc		Protein synthesis inhibitor	-
183	83.89	oe	ccsbBroad304_07500	PJA2	RING-type (C3HC4) zinc fingers
184	83.75	cp	BRD-K33193182	methylnorlichexanthone	Aurora kinase inhibitor
185	83.74	cp	BRD-A79903587	tegafur	Thymidylate synthase inhibitor
186	83.67	kd	CGS001-57404	CYP20A1	Cytochrome P450s
187	83.35	oe	ccsbBroad304_00398	CTSL2	-
188	83.25	oe	ccsbBroad304_09284	UBE3B	-
189	83.21	oe	ccsbBroad304_01593	SRP14	-
190	83.17	kd	CGS001-1718	DHCR24	-
191	83.14	cp	BRD-K52735702	cefdinir	Bacterial cell wall synthesis inhibitor
192	83.1	cp	BRD-K04877770	FTase-inhibitor-B581	Farnesyltransferase inhibitor
193	82.65	kd	CGS001-2115	ETV1	ETS Transcription Factors
194	82.38	cp	BRD-K81473089	tacrine	Acetylcholinesterase inhibitor
195	82.15	kd	CGS001-4055	LTBR	Tumor necrosis factor receptor superfamily
196	82.05	oe	ccsbBroad304_00379	CSNK1E	Casein kinase 1 (CK1) family
197	82.01	kd	CGS001-2065	ERBB3	Type I RTKs: ErbB (epidermal growth factor) receptor family
198	82	kd	CGS001-3421	IDH3G	-
199	81.87	cp	BRD-K50387473	XMD-892	MAP kinase inhibitor
200	81.81	oe	ccsbBroad304_06188	F10	Chymotrypsin
201	81.74	cp	BRD-K14965640	ibuprofen	Cyclooxygenase inhibitor
202	81.26	kd	CGS001-4141	MARS	Aminoacyl tRNA synthetases / Class I
203	81.25	kd	CGS001-7100	TLR5	Toll-like receptor family
204	81.21	oe	ccsbBroad304_01292	EIF2AK2	Other PEK family kinases
205	81.15	kd	CGS001-6915	TBXA2R	GPCR / Class A : Prostanoid receptors
206	81.11	kd	CGS001-3636	INPPL1	Inositol polyphosphate phosphatases
207	81.04	oe	ccsbBroad304_03122	RHOD	-
208	80.69	oe	ccsbBroad304_05049	GPBAR1	Bile acid receptor
209	80.68	cp	BRD-A47144777	dihydro-7-desacetyldeoxygedunin	HSP inhibitor
210	80.59	cp	BRD-K36740062	GSK-1070916	Aurora kinase inhibitor
211	80.4	cp	BRD-K22878149	SB-205607	Delta 1 opioid receptor agonist
212	80.17	oe	ccsbBroad304_06173	NR2F6	COUP-TF-like receptors
213	80.13	cp	BRD-K69600043	thiethylperazine	Dopamine receptor antagonist
214	80.13	kd	CGS001-6868	ADAM17	ADAM metallopeptidase domain containing
215	80.07	cp	BRD-A47706533	L-BSO	Glutathione transferase inhibitor
216	80.04	oe	ccsbBroad304_14122	TNFRSF21	Tumour necrosis factor (TNF) receptor family
217	80.01	kd	CGS001-115560	ZNF501	Zinc fingers, C2H2-type
218	80.01	kd	CGS001-27125	AFF4	-
219	79.97	kd	CGS001-7057	THBS1	-
220	79.96	oe	ccsbBroad304_00759	HMOX2	Haem oxygenase
221	79.95	kd	CGS001-170463	SSBP4	-
222	79.84	kd	CGS001-168374	ZNF92	Zinc fingers, C2H2-type
223	79.8	cp	BRD-K51290057	SA-792709	Retinoid receptor agonist
224	79.75	kd	CGS001-7187	TRAF3	-
225	79.69	kd	CGS001-221393	GPR115	Adhesion Class GPCRs
226	79.52	cp	BRD-A84389091	L-655708	GABA receptor inverse agonist
227	79.29	cp	BRD-K51575138	TPCA-1	IKK inhibitor
228	79.2	oe	ccsbBroad304_01061	NAB2	-
229	79.13	cp	BRD-A65013509	oxybutynin	Acetylcholine receptor antagonist
230	78.69	kd	CGS001-5887	RAD23B	-
231	78.64	cp	BRD-K11158509	tyrphostin-B44	EGFR inhibitor
232	78.49	cp	BRD-K40175214	torin-1	MTOR inhibitor
233	78.47	oe	ccsbBroad304_08365	CYCS	-
234	78.42	oe	ccsbBroad304_01977	AOC3	Oxidoreductases
235	78.29	cp	BRD-K39746403	erythromycin	NFkB pathway inhibitor
236	78.04	oe	ccsbBroad304_02195	SPAG7	-
237	77.98	oe	ccsbBroad304_02357	SSX3	-
238	77.98	cp	BRD-K38055836	etamivan	Respiratory stimulant
239	77.91	cp	BRD-K33583600	isoliquiritigenin	Guanylate cyclase activator
240	77.76	kd	CGS001-8322	FZD4	GPCR / Class F : Frizzled receptors
241	77.72	kd	CGS001-55486	PARL	-
242	77.32	cp	BRD-K97365803	PI-828	PI3K inhibitor
243	77.29	oe	ccsbBroad304_06236	XRCC6	XRCC DNA Repair
244	77.29	oe	ccsbBroad304_13813	ARAF	RAF family
245	77.2	cp	BRD-K59650319	YM-298198	Glutamate receptor antagonist
246	77.17	oe	ccsbBroad304_07768	NISCH	-
247	77.09	kd	CGS001-8431	NR0B2	DAX-like receptors
248	77.01	kd	CGS001-84923	FAM104A	-
249	76.85	kd	CGS001-9183	ZW10	-
250	76.74	oe	ccsbBroad304_06035	CRABP1	Fatty acid-binding proteins
251	76.56	kd	CGS001-57026	PDXP	-
252	76.53	oe	ccsbBroad304_02443	HAX1	-
253	76.5	cp	BRD-K48735772	PD-158780	EGFR inhibitor
254	76.28	oe	ccsbBroad304_06754	PPARD	Nuclear hormone receptors
255	76.27	kd	CGS001-79727	LIN28A	Zinc fingers, CCHC domain containing
256	76.18	cp	BRD-K40919711	BAPTA-AM	Potassium channel blocker
257	76.16	cp	BRD-K51318897	fenbendazole	Tubulin inhibitor
258	76.05	cp	BRD-K47943470	tyrphostin-51	EGFR inhibitor
259	76.03	kd	CGS001-57491	AHRR	Basic helix-loop-helix proteins
260	75.75	cp	BRD-K87024524	phenelzine	Monoamine oxidase inhibitor
261	75.69	oe	ccsbBroad304_00412	CYP3A5	Cytochrome P450s
262	75.67	oe	ccsbBroad304_02372	SPRY1	-
263	75.63	cp	BRD-K09631521	thiotepa	Cytochrome P450 inhibitor
264	75.54	kd	CGS001-3487	IGFBP4	insulin-like growth factor (IGF) binding proteins
265	75.52	cp	BRD-A00758722	noretynodrel	Progestogen hormone
266	75.26	cp	BRD-K66792149	quinoclamine	Algicide
267	75.19	kd	CGS001-81544	GDPD5	-
268	75.03	cp	BRD-K84639753	safinamide	Dopamine uptake inhibitor
269	74.98	kd	CGS001-1591	CYP24A1	Cytochrome P450s
270	74.96	kd	CGS001-55620	STAP2	-
271	74.81	cp	BRD-K62929068	6-benzylaminopurine	Purinergic receptor activator
272	74.8	oe	ccsbBroad304_01198	PIGA	Glycosyltransferase group 1 domain containing
273	74.62	oe	ccsbBroad304_02956	EHF	-
274	74.49	kd	CGS001-7905	REEP5	Receptor accessory proteins
275	74.43	oe	ccsbBroad304_06748	POLE2	DNA polymerases
276	74.39	cp	BRD-K55127134	fluphenazine	Dopamine receptor antagonist
277	74.31	kd	CGS001-6335	SCN9A	Voltage-gated sodium channels
278	74.27	oe	ccsbBroad304_09768	ZNF366	Zinc fingers, C2H2-type
279	74.19	kd	CGS001-55715	DOK4	Pleckstrin homology (PH) domain containing
280	74.09	cp	BRD-A83937277	mephenytoin	Hydantoin antiepileptic
281	74.06	cp	BRD-K80348542	cephaeline	Protein synthesis inhibitor
282	74.02	oe	ccsbBroad304_02019	IL18RAP	CD molecules
283	74.02	cp	BRD-K22662435	ganciclovir	DNA polymerase inhibitor
284	73.67	kd	CGS001-8508	NIPSNAP1	-
285	73.53	kd	CGS001-9520	NPEPPS	Aminopeptidase N
286	73.51	kd	CGS001-486	FXYD2	Ion transport regulator
287	73.5	oe	ccsbBroad304_01222	PLP2	-
288	73.39	kd	CGS001-353288	KRT26	Intermediate filaments type I, keratins (acidic)
289	73.39	kd	CGS001-27034	ACAD8	-
290	73.23	kd	CGS001-9180	OSMR	IL-6 receptor family
291	72.94	oe	ccsbBroad304_05979	CDK9	Cyclin-dependent kinases, CDK9 subfamily
292	72.72	oe	ccsbBroad304_06778	PROC	Endogenous ligands
293	72.52	oe	ccsbBroad304_00446	DKC1	-
294	72.47	oe	ccsbBroad304_08307	ZC3HC1	Zinc fingers, C3HC-type
295	72.41	oe	ccsbBroad304_03874	UBL5	-
296	72.36	cp	BRD-K46137903	prednicarbate	Phospholipase activator
297	72.18	oe	ccsbBroad304_04903	ZNF786	Zinc fingers, C2H2-type
298	72.18	cp	BRD-K99063460	didanosine	Nucleoside reverse transcriptase inhibitor
299	72.14	cp	BRD-K23623876	decafluorobutane	Contrast agent
300	72.02	cp	BRD-A95096829	PNU-96415E	Dopamine receptor antagonist
301	71.96	cp	BRD-A69917777	aminopentamide	Acetylcholine receptor antagonist
302	71.93	cp	BRD-A11007541	BCI-hydrochloride	Protein phosphatase inhibitor
303	71.89	oe	ccsbBroad304_01446	RPS3A	S ribosomal proteins
304	71.89	cp	BRD-A19500257	geldanamycin	HSP inhibitor
305	71.65	cp	BRD-A24381660	zeranol	Estrogen receptor agonist
306	71.52	oe	ccsbBroad304_01812	ZNF175	Zinc fingers, C2H2-type
307	71.31	kd	CGS001-2710	GK	Glycerol kinases
308	71.29	cp	BRD-A22684332	procaterol	Adrenergic receptor agonist
309	71.24	kd	CGS001-9324	HMGN3	High-mobility group / Canonical
310	71.21	kd	CGS001-55437	STRADB	STLK subfamily
311	71.2	cp	BRD-A47829399	artesunate	DNA synthesis inhibitor
312	71.14	oe	ccsbBroad304_01019	MLH1	-
313	71.11	kd	CGS001-978	CDA	-
314	71.07	cp	BRD-A44551378	LFM-A12	EGFR inhibitor
315	71.02	cp	BRD-K46018455	bezafibrate	PPAR receptor agonist
316	71	cp	BRD-K09255212	clioquinol	Chelating agent
317	70.98	kd	CGS001-2058	EPRS	Aminoacyl tRNA synthetases / Class I
318	70.92	cp	BRD-A69512159	carbidopa	Aromatic L-amino acid decarboxylase inhibitor
319	70.9	kd	CGS001-64858	DCLRE1B	-
320	70.89	cp	BRD-A64227845	SKF-77434	Dopamine receptor agonist
321	70.8	kd	CGS001-4795	NFKBIL1	-
322	70.77	oe	ccsbBroad304_07754	FGFR1OP	-
323	70.41	kd	CGS001-8609	KLF7	Kruppel-like transcription factors
324	70.02	cp	BRD-K51805276	temefos	Cholinesterase inhibitor
325	70.01	oe	ccsbBroad304_00101	RHOC	-
326	70	cp	BRD-K89274813	DMP-543	Acetylcholine release stimulant
327	69.97	kd	CGS001-1960	EGR3	Zinc fingers, C2H2-type
328	69.85	kd	CGS001-23038	WDTC1	DDB1 and CUL4 associated factors
329	69.84	cp	BRD-K57080016	selumetinib	MEK inhibitor
330	69.8	kd	CGS001-64921	CASD1	-
331	69.69	oe	ccsbBroad304_06058	CSNK2B	Casein kinase 2 (CK2) family
332	69.66	oe	ccsbBroad304_06624	NDUFC2	Mitochondrial respiratory chain complex / Complex I
333	69.46	kd	CGS001-10652	YKT6	-
334	69.39	cp	BRD-K91900765	VX-745	p38 MAPK inhibitor
335	69.38	cp	BRD-K31283835	tofacitinib	JAK inhibitor
336	69.32	oe	ccsbBroad304_03785	INTS12	Zinc fingers, PHD-type
337	69.25	oe	ccsbBroad304_02063	SLC25A14	Mitochondrial uncoupling proteins
338	69.09	cp	BRD-K89152108	liothyronine	Thyroid hormone stimulant
339	69.05	kd	CGS001-10775	POP4	-
340	68.97	oe	ccsbBroad304_08394	UGT1A6	UDP glucuronosyltransferases
341	68.81	kd	CGS001-29775	CARD10	-
342	68.55	cp	BRD-K17896185	FIT	Opioid receptor agonist
343	68.39	cp	BRD-K02581333	protein-tyrosine-phosphatase-inhibitor-IV	Tyrosine phosphatase inhibitor
344	68.15	oe	ccsbBroad304_01540	SLC2A1	Solute carriers
345	68.08	cp	BRD-K16621777	enobosarm	Androgen receptor modulator
346	68.01	oe	ccsbBroad304_07287	HYAL2	-
347	67.91	cp	BRD-K49456190	prima-1-met	thioredoxin inhibitor
348	67.88	cp	BRD-K82357231	desloratadine	Histamine receptor antagonist
349	67.85	kd	CGS001-148103	ZNF599	Zinc fingers, C2H2-type
350	67.84	kd	CGS001-4154	MBNL1	Zinc fingers, CCCH-type domain containing
351	67.4	kd	CGS001-4594	MUT	-
352	67.39	cp	BRD-A36066264	estradiol-benzoate	Estrogen receptor agonist
353	67.3	kd	CGS001-2166	FAAH	Endocannabinoid turnover
354	67.24	cp	BRD-K12932420	YM-976	Phosphodiesterase inhibitor
355	67.16	cp	BRD-K43330982	JTE-013	Lysophospholipid receptor antagonist
356	67.15	cp	BRD-K31843556	T-0070907	PPAR receptor antagonist
357	67.13	oe	ccsbBroad304_00756	HMGCS2	Lanosterol biosynthesis pathway
358	67.11	kd	CGS001-79600	TCTN1	Tectonic proteins
359	66.56	cp	BRD-A75368507	demeclocycline	Bacterial 30S ribosomal subunit inhibitor
360	66.45	cp	BRD-K82795137	loratadine	Histamine receptor antagonist
361	66.35	cp	BRD-K47639036	flavoxate	Acetylcholine receptor antagonist
362	66.27	kd	CGS001-23464	GCAT	-
363	66.26	kd	CGS001-3957	LGALS2	Lectins, galactoside-binding
364	66.14	kd	CGS001-10444	ZER1	ZYG11 cell cycle regulator family
365	66	kd	CGS001-6387	CXCL12	Endogenous ligands
366	65.93	cp	BRD-K92413528	thiazolidinecarboxylic-acid	Reducing agent
367	65.92	oe	ccsbBroad304_01267	PPP4C	Serine/threonine phosphatases / Protein phosphatase, catalytic subunits
368	65.54	kd	CGS001-23062	GGA2	-
369	65.32	cp	BRD-K56301217	ABT-737	BCL inhibitor
370	65.22	kd	CGS001-2098	ESD	-
371	64.9	cp	BRD-K49294207	BIBU-1361	EGFR inhibitor
372	64.78	cp	BRD-K51018020	VAMA-37	DNA dependent protein kinase inhibitor
373	64.74	cp	BRD-K26521938	dinoprostone	Prostanoid receptor agonist
374	64.69	oe	ccsbBroad304_11796	ULK3	Unc-51-like kinase (ULK) family
375	64.45	kd	CGS001-4790	NFKB1	NFkappaB transcription factor family
376	64.38	cp	BRD-K35559145	levomepromazine	Dopamine receptor antagonist
377	64.34	cp	BRD-K95885906	quercetagetin	PIM inhibitor
378	64.13	cp	BRD-A18763547	BAX-channel-blocker	Cytochrome C release inhibitor
379	64.07	cp	BRD-K74195153	irsogladine	Phosphodiesterase inhibitor
380	63.99	cp	BRD-A07395371	esmolol	Adrenergic receptor antagonist
381	63.83	cc		Bromodomain Inhibitor	-
382	63.61	cp	BRD-A04706586	bucladesine	Adenosine receptor agonist
383	63.6	oe	ccsbBroad304_03469	ANKRD49	Ankyrin repeat domain containing
384	63.55	oe	ccsbBroad304_00067	SLC25A4	Mitochondrial nucleotide transporter subfamily
385	63.51	oe	ccsbBroad304_00524	EXT2	Exostosin glycosyltransferase family
386	63.38	kd	CGS001-90589	ZNF625	Zinc fingers, C2H2-type
387	63.27	cp	BRD-K85606544	neratinib	EGFR inhibitor
388	63.2	cp	BRD-K67100011	pivmecillinam	Bacterial cell wall synthesis inhibitor
389	63.11	kd	CGS001-506	ATP5B	ATPases / F-type
390	63.07	cp	BRD-K88611939	aniracetam	Glutamate receptor agonist
391	63.01	cp	BRD-K13087974	4,5-dianilinophthalimide	EGFR inhibitor
392	63	kd	CGS001-1840	DTX1	-
